vehicle_category,euro_standard,country,fleet_year
Motorcycles,Conventional,Hungary,2005
Passenger Cars,Conventional,Hungary,2005
Buses,Euro I,Iceland,2005
Heavy Duty Trucks,Euro I,Iceland,2005
Light Commercial Vehicles,Euro 1,Iceland,2005
Motorcycles,Euro 1,Iceland,2005
Passenger Cars,Euro 1,Iceland,2005
Buses,Euro II,Ireland,2005
Heavy Duty Trucks,Euro II,Ireland,2005
Light Commercial Vehicles,Euro 2,Ireland,2005
Motorcycles,Euro 2,Ireland,2005
Passenger Cars,Euro 2,Ireland,2005
Buses,Euro I,Italy,2005
Heavy Duty Trucks,Euro I,Italy,2005
Light Commercial Vehicles,Euro 1,Italy,2005
Motorcycles,Euro 1,Italy,2005
Passenger Cars,Euro 1,Italy,2005
Buses,Conventional,Latvia,2005
Heavy Duty Trucks,Conventional,Latvia,2005
Light Commercial Vehicles,Conventional,Latvia,2005
Motorcycles,Conventional,Latvia,2005
Passenger Cars,Conventional,Latvia,2005
Buses,Euro I,Liechtenstein,2005
Heavy Duty Trucks,Euro I,Liechtenstein,2005
Light Commercial Vehicles,Euro 1,Liechtenstein,2005
Motorcycles,Euro 1,Liechtenstein,2005
Passenger Cars,Euro 1,Liechtenstein,2005
Buses,Conventional,Lithuania,2005
Heavy Duty Trucks,Conventional,Lithuania,2005
Light Commercial Vehicles,Conventional,Lithuania,2005
Motorcycles,Conventional,Lithuania,2005
Passenger Cars,Conventional,Lithuania,2005
Buses,Euro II,Luxembourg,2005
Heavy Duty Trucks,Euro II,Luxembourg,2005
Light Commercial Vehicles,Euro 2,Luxembourg,2005
Motorcycles,Euro 2,Luxembourg,2005
Passenger Cars,Euro 2,Luxembourg,2005
Buses,Euro I,Malta,2005
Heavy Duty Trucks,Euro I,Malta,2005
Light Commercial Vehicles,Euro 1,Malta,2005
Motorcycles,Euro 1,Malta,2005
Passenger Cars,Euro 1,Malta,2005
Buses,Euro I,Montenegro,2005
Heavy Duty Trucks,Euro I,Montenegro,2005
Light Commercial Vehicles,Euro 1,Montenegro,2005
Motorcycles,Euro 1,Montenegro,2005
Passenger Cars,Euro 1,Montenegro,2005
Buses,Euro I,Netherlands,2005
Heavy Duty Trucks,Euro I,Netherlands,2005
Light Commercial Vehicles,Euro 1,Netherlands,2005
Motorcycles,Euro 1,Netherlands,2005
Passenger Cars,Euro 1,Netherlands,2005
Buses,Euro I,North Macedonia,2005
Heavy Duty Trucks,Euro I,North Macedonia,2005
Light Commercial Vehicles,Euro 1,North Macedonia,2005
Motorcycles,Euro 1,North Macedonia,2005
Passenger Cars,Euro 1,North Macedonia,2005
Buses,Euro I,Norway,2005
Heavy Duty Trucks,Euro I,Norway,2005
Light Commercial Vehicles,Euro 1,Norway,2005
Motorcycles,Euro 1,Norway,2005
Passenger Cars,Euro 1,Norway,2005
Buses,Conventional,Poland,2005
Heavy Duty Trucks,Conventional,Poland,2005
Light Commercial Vehicles,Conventional,Poland,2005
Motorcycles,Conventional,Poland,2005
Passenger Cars,Conventional,Poland,2005
Buses,Conventional,Portugal,2005
Heavy Duty Trucks,Conventional,Portugal,2005
Light Commercial Vehicles,Conventional,Portugal,2005
Motorcycles,Conventional,Portugal,2005
Passenger Cars,Conventional,Portugal,2005
Buses,Conventional,Romania,2005
Heavy Duty Trucks,Conventional,Romania,2005
Light Commercial Vehicles,Conventional,Romania,2005
Motorcycles,Conventional,Romania,2005
Passenger Cars,Conventional,Romania,2005
Buses,Euro I,Serbia,2005
Heavy Duty Trucks,Euro I,Serbia,2005
Light Commercial Vehicles,Euro 1,Serbia,2005
Motorcycles,Euro 1,Serbia,2005
Passenger Cars,Euro 1,Serbia,2005
Buses,Euro I,Slovenia,2005
Heavy Duty Trucks,Euro I,Slovenia,2005
Light Commercial Vehicles,Euro 1,Slovenia,2005
Motorcycles,Euro 1,Slovenia,2005
Passenger Cars,Euro 1,Slovenia,2005
Buses,Conventional,Spain,2005
Heavy Duty Trucks,Conventional,Spain,2005
Light Commercial Vehicles,Conventional,Spain,2005
Motorcycles,Conventional,Spain,2005
Passenger Cars,Conventional,Spain,2005
Buses,Euro I,Sweden,2005
Heavy Duty Trucks,Euro I,Sweden,2005
Light Commercial Vehicles,Euro 1,Sweden,2005
Motorcycles,Euro 1,Sweden,2005
Passenger Cars,Euro 1,Sweden,2005
Buses,Euro II,Switzerland,2005
Heavy Duty Trucks,Euro II,Switzerland,2005
Light Commercial Vehicles,Euro 2,Switzerland,2005
Motorcycles,Euro 2,Switzerland,2005
Passenger Cars,Euro 2,Switzerland,2005
Buses,Euro I,Turkey,2005
Heavy Duty Trucks,Euro I,Turkey,2005
Light Commercial Vehicles,Euro 1,Turkey,2005
Motorcycles,Euro 1,Turkey,2005
Passenger Cars,Euro 1,Turkey,2005
Buses,Euro I,United Kingdom,2005
Heavy Duty Trucks,Euro I,United Kingdom,2005
Light Commercial Vehicles,Euro 1,United Kingdom,2005
Motorcycles,Euro 1,United Kingdom,2005
Passenger Cars,Euro 1,United Kingdom,2005
Buses,Euro I,EU28,2005
Heavy Duty Trucks,Euro I,EU28,2005
Light Commercial Vehicles,Euro 1,EU28,2005
Motorcycles,Euro 1,EU28,2005
Passenger Cars,Euro 1,EU28,2005
Buses,Euro II,Albania,2010
Heavy Duty Trucks,Euro II,Albania,2010
Light Commercial Vehicles,Euro 2,Albania,2010
Motorcycles,Euro 2,Albania,2010
Passenger Cars,Euro 2,Albania,2010
Buses,Euro III,Austria,2010
Heavy Duty Trucks,Euro III,Austria,2010
Light Commercial Vehicles,Euro 3,Austria,2010
Motorcycles,Euro 3,Austria,2010
Passenger Cars,Euro 3,Austria,2010
Buses,Euro III,Belgium,2010
Heavy Duty Trucks,Euro III,Belgium,2010
Light Commercial Vehicles,Euro 3,Belgium,2010
Motorcycles,Euro 3,Belgium,2010
Passenger Cars,Euro 3,Belgium,2010
Buses,Euro II,Bulgaria,2010
Heavy Duty Trucks,Euro II,Bulgaria,2010
Light Commercial Vehicles,Euro 2,Bulgaria,2010
Motorcycles,Euro 2,Bulgaria,2010
Passenger Cars,Euro 2,Bulgaria,2010
Buses,Euro I,Croatia,2010
Heavy Duty Trucks,Euro I,Croatia,2010
Light Commercial Vehicles,Euro 1,Croatia,2010
Motorcycles,Euro 1,Croatia,2010
Passenger Cars,Euro 1,Croatia,2010
Buses,Euro II,Cyprus,2010
Heavy Duty Trucks,Euro II,Cyprus,2010
Light Commercial Vehicles,Euro 2,Cyprus,2010
Motorcycles,Euro 2,Cyprus,2010
Passenger Cars,Euro 2,Cyprus,2010
Buses,Euro I,Czech Republic,2010
Heavy Duty Trucks,Euro I,Czech Republic,2010
Light Commercial Vehicles,Euro 1,Czech Republic,2010
Motorcycles,Euro 1,Czech Republic,2010
Passenger Cars,Euro 1,Czech Republic,2010
Buses,Euro III,Denmark,2010
Heavy Duty Trucks,Euro III,Denmark,2010
Light Commercial Vehicles,Euro 3,Denmark,2010
Motorcycles,Euro 3,Denmark,2010
Passenger Cars,Euro 3,Denmark,2010
Buses,Euro II,EU27,2010
Heavy Duty Trucks,Euro II,EU27,2010
Light Commercial Vehicles,Euro 2,EU27,2010
Motorcycles,Euro 2,EU27,2010
Passenger Cars,Euro 2,EU27,2010
Buses,Euro I,Estonia,2010
Heavy Duty Trucks,Euro I,Estonia,2010
Light Commercial Vehicles,Euro 1,Estonia,2010
Motorcycles,Euro 1,Estonia,2010
Passenger Cars,Euro 1,Estonia,2010
Buses,Euro II,Finland,2010
Heavy Duty Trucks,Euro II,Finland,2010
Light Commercial Vehicles,Euro 2,Finland,2010
Motorcycles,Euro 2,Finland,2010
Passenger Cars,Euro 2,Finland,2010
Buses,Euro II,France,2010
Heavy Duty Trucks,Euro II,France,2010
Light Commercial Vehicles,Euro 2,France,2010
Motorcycles,Euro 2,France,2010
Passenger Cars,Euro 2,France,2010
Buses,Euro III,Germany,2010
Heavy Duty Trucks,Euro III,Germany,2010
Light Commercial Vehicles,Euro 3,Germany,2010
Motorcycles,Euro 3,Germany,2010
Passenger Cars,Euro 3,Germany,2010
Buses,Euro I,Greece,2010
Heavy Duty Trucks,Euro I,Greece,2010
Light Commercial Vehicles,Euro 1,Greece,2010
Motorcycles,Euro 1,Greece,2010
Passenger Cars,Euro 1,Greece,2010
Buses,Euro I,Hungary,2010
Heavy Duty Trucks,Euro I,Hungary,2010
Light Commercial Vehicles,Euro 1,Hungary,2010
Motorcycles,Euro 1,Hungary,2010
Passenger Cars,Euro 1,Hungary,2010
Buses,Euro II,Iceland,2010
Heavy Duty Trucks,Euro II,Iceland,2010
Light Commercial Vehicles,Euro 2,Iceland,2010
Motorcycles,Euro 2,Iceland,2010
Passenger Cars,Euro 2,Iceland,2010
Buses,Euro III,Ireland,2010
Heavy Duty Trucks,Euro III,Ireland,2010
Light Commercial Vehicles,Euro 3,Ireland,2010
Motorcycles,Euro 3,Ireland,2010
Passenger Cars,Euro 3,Ireland,2010
Buses,Euro II,Italy,2010
Heavy Duty Trucks,Euro II,Italy,2010
Light Commercial Vehicles,Euro 2,Italy,2010
Motorcycles,Euro 2,Italy,2010
Passenger Cars,Euro 2,Italy,2010
Buses,Euro I,Latvia,2010
Heavy Duty Trucks,Euro I,Latvia,2010
Light Commercial Vehicles,Euro 1,Latvia,2010
Motorcycles,Euro 1,Latvia,2010
Passenger Cars,Euro 1,Latvia,2010
Buses,Euro II,Liechtenstein,2010
Heavy Duty Trucks,Euro II,Liechtenstein,2010
Light Commercial Vehicles,Euro 2,Liechtenstein,2010
Motorcycles,Euro 2,Liechtenstein,2010
Passenger Cars,Euro 2,Liechtenstein,2010
Buses,Euro I,Lithuania,2010
Heavy Duty Trucks,Euro I,Lithuania,2010
Light Commercial Vehicles,Euro 1,Lithuania,2010
Motorcycles,Euro 1,Lithuania,2010
Passenger Cars,Euro 1,Lithuania,2010
Buses,Euro III,Luxembourg,2010
Heavy Duty Trucks,Euro III,Luxembourg,2010
Light Commercial Vehicles,Euro 3,Luxembourg,2010
Motorcycles,Euro 3,Luxembourg,2010
Passenger Cars,Euro 3,Luxembourg,2010
Buses,Euro II,Malta,2010
Heavy Duty Trucks,Euro II,Malta,2010
Light Commercial Vehicles,Euro 2,Malta,2010
Motorcycles,Euro 2,Malta,2010
Passenger Cars,Euro 2,Malta,2010
Buses,Euro II,Montenegro,2010
Heavy Duty Trucks,Euro II,Montenegro,2010
Light Commercial Vehicles,Euro 2,Montenegro,2010
Motorcycles,Euro 2,Montenegro,2010
Passenger Cars,Euro 2,Montenegro,2010
Buses,Euro II,Netherlands,2010
Heavy Duty Trucks,Euro II,Netherlands,2010
Light Commercial Vehicles,Euro 2,Netherlands,2010
Motorcycles,Euro 2,Netherlands,2010
Passenger Cars,Euro 2,Netherlands,2010
Buses,Euro II,North Macedonia,2010
Heavy Duty Trucks,Euro II,North Macedonia,2010
Light Commercial Vehicles,Euro 2,North Macedonia,2010
Motorcycles,Euro 2,North Macedonia,2010
Passenger Cars,Euro 2,North Macedonia,2010
Buses,Euro II,Norway,2010
Heavy Duty Trucks,Euro II,Norway,2010
Light Commercial Vehicles,Euro 2,Norway,2010
Motorcycles,Euro 2,Norway,2010
Passenger Cars,Euro 2,Norway,2010
Buses,Euro I,Poland,2010
Heavy Duty Trucks,Euro I,Poland,2010
Light Commercial Vehicles,Euro 1,Poland,2010
Motorcycles,Euro 1,Poland,2010
Passenger Cars,Euro 1,Poland,2010
Buses,Euro II,Portugal,2010
Heavy Duty Trucks,Euro II,Portugal,2010
Light Commercial Vehicles,Euro 2,Portugal,2010
Motorcycles,Euro 2,Portugal,2010
Passenger Cars,Euro 2,Portugal,2010
Buses,Euro I,Romania,2010
Heavy Duty Trucks,Euro I,Romania,2010
Light Commercial Vehicles,Euro 1,Romania,2010
Motorcycles,Euro 1,Romania,2010
Passenger Cars,Euro 1,Romania,2010
Buses,Euro II,Serbia,2010
Heavy Duty Trucks,Euro II,Serbia,2010
Light Commercial Vehicles,Euro 2,Serbia,2010
Motorcycles,Euro 2,Serbia,2010
Passenger Cars,Euro 2,Serbia,2010
Buses,Euro II,Slovenia,2010
Heavy Duty Trucks,Euro II,Slovenia,2010
Light Commercial Vehicles,Euro 2,Slovenia,2010
Motorcycles,Euro 2,Slovenia,2010
Passenger Cars,Euro 2,Slovenia,2010
Buses,Euro II,Spain,2010
Heavy Duty Trucks,Euro II,Spain,2010
Light Commercial Vehicles,Euro 2,Spain,2010
Motorcycles,Euro 2,Spain,2010
Passenger Cars,Euro 2,Spain,2010
Buses,Euro II,Sweden,2010
Heavy Duty Trucks,Euro II,Sweden,2010
Light Commercial Vehicles,Euro 2,Sweden,2010
Motorcycles,Euro 2,Sweden,2010
Passenger Cars,Euro 2,Sweden,2010
Buses,Euro III,Switzerland,2010
Heavy Duty Trucks,Euro III,Switzerland,2010
Light Commercial Vehicles,Euro 3,Switzerland,2010
Motorcycles,Euro 3,Switzerland,2010
Passenger Cars,Euro 3,Switzerland,2010
Buses,Euro II,Turkey,2010
Heavy Duty Trucks,Euro II,Turkey,2010
Light Commercial Vehicles,Euro 2,Turkey,2010
Motorcycles,Euro 2,Turkey,2010
Passenger Cars,Euro 2,Turkey,2010
Buses,Euro III,United Kingdom,2010
Heavy Duty Trucks,Euro III,United Kingdom,2010
Light Commercial Vehicles,Euro 3,United Kingdom,2010
Motorcycles,Euro 3,United Kingdom,2010
Passenger Cars,Euro 3,United Kingdom,2010
Buses,Euro II,EU28,2010
Heavy Duty Trucks,Euro II,EU28,2010
Light Commercial Vehicles,Euro 2,EU28,2010
Motorcycles,Euro 2,EU28,2010
Passenger Cars,Euro 2,EU28,2010
Buses,Euro III,Albania,2015
Heavy Duty Trucks,Euro III,Albania,2015
Light Commercial Vehicles,Euro 3,Albania,2015
Motorcycles,Euro 3,Albania,2015
Passenger Cars,Euro 3,Albania,2015
Buses,Euro IV,Austria,2015
Heavy Duty Trucks,Euro IV,Austria,2015
Light Commercial Vehicles,Euro 4,Austria,2015
Motorcycles,Euro 4,Austria,2015
Passenger Cars,Euro 4,Austria,2015
Buses,Euro IV,Belgium,2015
Heavy Duty Trucks,Euro IV,Belgium,2015
Light Commercial Vehicles,Euro 4,Belgium,2015
Motorcycles,Euro 4,Belgium,2015
Passenger Cars,Euro 4,Belgium,2015
Buses,Euro III,Bulgaria,2015
Heavy Duty Trucks,Euro III,Bulgaria,2015
Light Commercial Vehicles,Euro 3,Bulgaria,2015
Motorcycles,Euro 3,Bulgaria,2015
Passenger Cars,Euro 3,Bulgaria,2015
Buses,Euro III,Croatia,2015
Heavy Duty Trucks,Euro III,Croatia,2015
Light Commercial Vehicles,Euro 3,Croatia,2015
Motorcycles,Euro 3,Croatia,2015
Passenger Cars,Euro 3,Croatia,2015
Buses,Euro III,Cyprus,2015
Heavy Duty Trucks,Euro III,Cyprus,2015
Light Commercial Vehicles,Euro 3,Cyprus,2015
Motorcycles,Euro 3,Cyprus,2015
Passenger Cars,Euro 3,Cyprus,2015
Buses,Euro II,Czech Republic,2015
Heavy Duty Trucks,Euro II,Czech Republic,2015
Light Commercial Vehicles,Euro 2,Czech Republic,2015
Motorcycles,Euro 2,Czech Republic,2015
Passenger Cars,Euro 2,Czech Republic,2015
Buses,Euro IV,Denmark,2015
Heavy Duty Trucks,Euro IV,Denmark,2015
Light Commercial Vehicles,Euro 4,Denmark,2015
Motorcycles,Euro 4,Denmark,2015
Passenger Cars,Euro 4,Denmark,2015
Buses,Euro III,EU27,2015
Heavy Duty Trucks,Euro III,EU27,2015
Light Commercial Vehicles,Euro 3,EU27,2015
Motorcycles,Euro 3,EU27,2015
Passenger Cars,Euro 3,EU27,2015
Buses,Euro II,Estonia,2015
Heavy Duty Trucks,Euro II,Estonia,2015
Light Commercial Vehicles,Euro 2,Estonia,2015
Motorcycles,Euro 2,Estonia,2015
Passenger Cars,Euro 2,Estonia,2015
Buses,Euro III,Finland,2015
Heavy Duty Trucks,Euro III,Finland,2015
Light Commercial Vehicles,Euro 3,Finland,2015
Motorcycles,Euro 3,Finland,2015
Passenger Cars,Euro 3,Finland,2015
Buses,Euro III,France,2015
Heavy Duty Trucks,Euro III,France,2015
Light Commercial Vehicles,Euro 3,France,2015
Motorcycles,Euro 3,France,2015
Passenger Cars,Euro 3,France,2015
Buses,Euro IV,Germany,2015
Heavy Duty Trucks,Euro IV,Germany,2015
Light Commercial Vehicles,Euro 4,Germany,2015
Motorcycles,Euro 4,Germany,2015
Passenger Cars,Euro 4,Germany,2015
Buses,Euro II,Greece,2015
Heavy Duty Trucks,Euro II,Greece,2015
Light Commercial Vehicles,Euro 2,Greece,2015
Motorcycles,Euro 2,Greece,2015
Passenger Cars,Euro 2,Greece,2015
Buses,Euro III,Hungary,2015
Heavy Duty Trucks,Euro III,Hungary,2015
Light Commercial Vehicles,Euro 3,Hungary,2015
Motorcycles,Euro 3,Hungary,2015
Passenger Cars,Euro 3,Hungary,2015
Buses,Euro III,Iceland,2015
Heavy Duty Trucks,Euro III,Iceland,2015
Light Commercial Vehicles,Euro 3,Iceland,2015
Motorcycles,Euro 3,Iceland,2015
Passenger Cars,Euro 3,Iceland,2015
Buses,Euro IV,Ireland,2015
Heavy Duty Trucks,Euro IV,Ireland,2015
Light Commercial Vehicles,Euro 4,Ireland,2015
Motorcycles,Euro 4,Ireland,2015
Passenger Cars,Euro 4,Ireland,2015
Buses,Euro III,Italy,2015
Heavy Duty Trucks,Euro III,Italy,2015
Light Commercial Vehicles,Euro 3,Italy,2015
Motorcycles,Euro 3,Italy,2015
Passenger Cars,Euro 3,Italy,2015
Buses,Euro III,Latvia,2015
Heavy Duty Trucks,Euro III,Latvia,2015
Light Commercial Vehicles,Euro 3,Latvia,2015
Motorcycles,Euro 3,Latvia,2015
Passenger Cars,Euro 3,Latvia,2015
Buses,Euro III,Liechtenstein,2015
Heavy Duty Trucks,Euro III,Liechtenstein,2015
Light Commercial Vehicles,Euro 3,Liechtenstein,2015
Motorcycles,Euro 3,Liechtenstein,2015
Passenger Cars,Euro 3,Liechtenstein,2015
Buses,Euro II,Lithuania,2015
Heavy Duty Trucks,Euro II,Lithuania,2015
Light Commercial Vehicles,Euro 2,Lithuania,2015
Motorcycles,Euro 2,Lithuania,2015
Passenger Cars,Euro 2,Lithuania,2015
Buses,Euro V,Luxembourg,2015
Heavy Duty Trucks,Euro V,Luxembourg,2015
Light Commercial Vehicles,Euro 4,Luxembourg,2015
Motorcycles,Euro 4,Luxembourg,2015
Passenger Cars,Euro 4,Luxembourg,2015
Buses,Euro III,Malta,2015
Heavy Duty Trucks,Euro III,Malta,2015
Light Commercial Vehicles,Euro 3,Malta,2015
Motorcycles,Euro 3,Malta,2015
Passenger Cars,Euro 3,Malta,2015
Buses,Euro III,Montenegro,2015
Heavy Duty Trucks,Euro III,Montenegro,2015
Light Commercial Vehicles,Euro 3,Montenegro,2015
Motorcycles,Euro 3,Montenegro,2015
Passenger Cars,Euro 3,Montenegro,2015
Buses,Euro III,Netherlands,2015
Heavy Duty Trucks,Euro III,Netherlands,2015
Light Commercial Vehicles,Euro 3,Netherlands,2015
Motorcycles,Euro 3,Netherlands,2015
Passenger Cars,Euro 3,Netherlands,2015
Buses,Euro III,North Macedonia,2015
Heavy Duty Trucks,Euro III,North Macedonia,2015
Light Commercial Vehicles,Euro 3,North Macedonia,2015
Motorcycles,Euro 3,North Macedonia,2015
Passenger Cars,Euro 3,North Macedonia,2015
Buses,Euro III,Norway,2015
Heavy Duty Trucks,Euro III,Norway,2015
Light Commercial Vehicles,Euro 3,Norway,2015
Motorcycles,Euro 3,Norway,2015
Passenger Cars,Euro 3,Norway,2015
Buses,Euro III,Poland,2015
Heavy Duty Trucks,Euro III,Poland,2015
Light Commercial Vehicles,Euro 3,Poland,2015
Motorcycles,Euro 3,Poland,2015
Passenger Cars,Euro 3,Poland,2015
Buses,Euro III,Portugal,2015
Heavy Duty Trucks,Euro III,Portugal,2015
Light Commercial Vehicles,Euro 3,Portugal,2015
Motorcycles,Euro 3,Portugal,2015
Passenger Cars,Euro 3,Portugal,2015
Buses,Euro II,Romania,2015
Heavy Duty Trucks,Euro II,Romania,2015
Light Commercial Vehicles,Euro 2,Romania,2015
Motorcycles,Euro 2,Romania,2015
Passenger Cars,Euro 2,Romania,2015
Buses,Euro III,Serbia,2015
Heavy Duty Trucks,Euro III,Serbia,2015
Light Commercial Vehicles,Euro 3,Serbia,2015
Motorcycles,Euro 3,Serbia,2015
Passenger Cars,Euro 3,Serbia,2015
Buses,Euro III,Slovenia,2015
Heavy Duty Trucks,Euro III,Slovenia,2015
Light Commercial Vehicles,Euro 3,Slovenia,2015
Motorcycles,Euro 3,Slovenia,2015
Passenger Cars,Euro 3,Slovenia,2015
Buses,Euro III,Spain,2015
Heavy Duty Trucks,Euro III,Spain,2015
Light Commercial Vehicles,Euro 3,Spain,2015
Motorcycles,Euro 3,Spain,2015
Passenger Cars,Euro 3,Spain,2015
Buses,Euro III,Sweden,2015
Heavy Duty Trucks,Euro III,Sweden,2015
Light Commercial Vehicles,Euro 3,Sweden,2015
Motorcycles,Euro 3,Sweden,2015
Passenger Cars,Euro 3,Sweden,2015
Buses,Euro IV,Switzerland,2015
Heavy Duty Trucks,Euro IV,Switzerland,2015
Light Commercial Vehicles,Euro 4,Switzerland,2015
Motorcycles,Euro 4,Switzerland,2015
Passenger Cars,Euro 4,Switzerland,2015
Buses,Euro III,Turkey,2015
Heavy Duty Trucks,Euro III,Turkey,2015
Light Commercial Vehicles,Euro 3,Turkey,2015
Motorcycles,Euro 3,Turkey,2015
Passenger Cars,Euro 3,Turkey,2015
Buses,Euro IV,United Kingdom,2015
Heavy Duty Trucks,Euro IV,United Kingdom,2015
Light Commercial Vehicles,Euro 4,United Kingdom,2015
Motorcycles,Euro 4,United Kingdom,2015
Passenger Cars,Euro 4,United Kingdom,2015
Buses,Euro III,EU28,2015
Heavy Duty Trucks,Euro III,EU28,2015
Light Commercial Vehicles,Euro 3,EU28,2015
Motorcycles,Euro 3,EU28,2015
Passenger Cars,Euro 3,EU28,2015
Buses,Euro V,Albania,2020
Heavy Duty Trucks,Euro V,Albania,2020
Light Commercial Vehicles,Euro 4,Albania,2020
Motorcycles,Euro 4,Albania,2020
Passenger Cars,Euro 4,Albania,2020
Buses,Euro V,Austria,2020
Heavy Duty Trucks,Euro V,Austria,2020
Light Commercial Vehicles,Euro 5,Austria,2020
Motorcycles,Euro 5,Austria,2020
Passenger Cars,Euro 5,Austria,2020
Buses,Euro V,Belgium,2020
Heavy Duty Trucks,Euro V,Belgium,2020
Light Commercial Vehicles,Euro 5,Belgium,2020
Motorcycles,Euro 5,Belgium,2020
Passenger Cars,Euro 5,Belgium,2020
Buses,Euro V,Bulgaria,2020
Heavy Duty Trucks,Euro V,Bulgaria,2020
Light Commercial Vehicles,Euro 4,Bulgaria,2020
Motorcycles,Euro 4,Bulgaria,2020
Passenger Cars,Euro 4,Bulgaria,2020
Buses,Euro IV,Croatia,2020
Heavy Duty Trucks,Euro IV,Croatia,2020
Light Commercial Vehicles,Euro 4,Croatia,2020
Motorcycles,Euro 4,Croatia,2020
Passenger Cars,Euro 4,Croatia,2020
Buses,Euro V,Cyprus,2020
Heavy Duty Trucks,Euro V,Cyprus,2020
Light Commercial Vehicles,Euro 4,Cyprus,2020
Motorcycles,Euro 4,Cyprus,2020
Passenger Cars,Euro 4,Cyprus,2020
Buses,Euro III,Czech Republic,2020
Heavy Duty Trucks,Euro III,Czech Republic,2020
Light Commercial Vehicles,Euro 3,Czech Republic,2020
Motorcycles,Euro 3,Czech Republic,2020
Passenger Cars,Euro 3,Czech Republic,2020
Buses,Euro V,Denmark,2020
Heavy Duty Trucks,Euro V,Denmark,2020
Light Commercial Vehicles,Euro 5,Denmark,2020
Motorcycles,Euro 5,Denmark,2020
Passenger Cars,Euro 5,Denmark,2020
Buses,Euro V,EU27,2020
Heavy Duty Trucks,Euro V,EU27,2020
Light Commercial Vehicles,Euro 4,EU27,2020
Motorcycles,Euro 4,EU27,2020
Passenger Cars,Euro 4,EU27,2020
Buses,Euro III,Estonia,2020
Heavy Duty Trucks,Euro III,Estonia,2020
Light Commercial Vehicles,Euro 3,Estonia,2020
Motorcycles,Euro 3,Estonia,2020
Passenger Cars,Euro 3,Estonia,2020
Buses,Euro IV,Finland,2020
Heavy Duty Trucks,Euro IV,Finland,2020
Light Commercial Vehicles,Euro 4,Finland,2020
Motorcycles,Euro 4,Finland,2020
Passenger Cars,Euro 4,Finland,2020
Buses,Euro V,France,2020
Heavy Duty Trucks,Euro V,France,2020
Light Commercial Vehicles,Euro 5,France,2020
Motorcycles,Euro 5,France,2020
Passenger Cars,Euro 5,France,2020
Buses,Euro V,Germany,2020
Heavy Duty Trucks,Euro V,Germany,2020
Light Commercial Vehicles,Euro 5,Germany,2020
Motorcycles,Euro 5,Germany,2020
Passenger Cars,Euro 5,Germany,2020
Buses,Euro III,Greece,2020
Heavy Duty Trucks,Euro III,Greece,2020
Light Commercial Vehicles,Euro 3,Greece,2020
Motorcycles,Euro 3,Greece,2020
Passenger Cars,Euro 3,Greece,2020
Buses,Euro IV,Hungary,2020
Heavy Duty Trucks,Euro IV,Hungary,2020
Light Commercial Vehicles,Euro 4,Hungary,2020
Motorcycles,Euro 4,Hungary,2020
Passenger Cars,Euro 4,Hungary,2020
Buses,Euro V,Iceland,2020
Heavy Duty Trucks,Euro V,Iceland,2020
Light Commercial Vehicles,Euro 4,Iceland,2020
Motorcycles,Euro 4,Iceland,2020
Passenger Cars,Euro 4,Iceland,2020
Buses,Euro V,Ireland,2020
Heavy Duty Trucks,Euro V,Ireland,2020
Light Commercial Vehicles,Euro 5,Ireland,2020
Motorcycles,Euro 5,Ireland,2020
Passenger Cars,Euro 5,Ireland,2020
Buses,Euro V,Italy,2020
Heavy Duty Trucks,Euro V,Italy,2020
Light Commercial Vehicles,Euro 4,Italy,2020
Motorcycles,Euro 4,Italy,2020
Passenger Cars,Euro 4,Italy,2020
Buses,Euro IV,Latvia,2020
Heavy Duty Trucks,Euro IV,Latvia,2020
Light Commercial Vehicles,Euro 4,Latvia,2020
Motorcycles,Euro 4,Latvia,2020
Passenger Cars,Euro 4,Latvia,2020
Buses,Euro V,Liechtenstein,2020
Heavy Duty Trucks,Euro V,Liechtenstein,2020
Light Commercial Vehicles,Euro 4,Liechtenstein,2020
Motorcycles,Euro 4,Liechtenstein,2020
Passenger Cars,Euro 4,Liechtenstein,2020
Buses,Euro III,Lithuania,2020
Heavy Duty Trucks,Euro III,Lithuania,2020
Light Commercial Vehicles,Euro 3,Lithuania,2020
Motorcycles,Euro 3,Lithuania,2020
Passenger Cars,Euro 3,Lithuania,2020
Buses,Euro VI A/B/C,Luxembourg,2020
Heavy Duty Trucks,Euro VI A/B/C,Luxembourg,2020
Light Commercial Vehicles,Euro 5,Luxembourg,2020
Motorcycles,Euro 5,Luxembourg,2020
Passenger Cars,Euro 5,Luxembourg,2020
Buses,Euro V,Malta,2020
Heavy Duty Trucks,Euro V,Malta,2020
Light Commercial Vehicles,Euro 4,Malta,2020
Motorcycles,Euro 4,Malta,2020
Passenger Cars,Euro 4,Malta,2020
Buses,Euro V,Montenegro,2020
Heavy Duty Trucks,Euro V,Montenegro,2020
Light Commercial Vehicles,Euro 4,Montenegro,2020
Motorcycles,Euro 4,Montenegro,2020
Passenger Cars,Euro 4,Montenegro,2020
Buses,Euro V,Netherlands,2020
Heavy Duty Trucks,Euro V,Netherlands,2020
Light Commercial Vehicles,Euro 4,Netherlands,2020
Motorcycles,Euro 4,Netherlands,2020
Passenger Cars,Euro 4,Netherlands,2020
Buses,Euro V,North Macedonia,2020
Heavy Duty Trucks,Euro V,North Macedonia,2020
Light Commercial Vehicles,Euro 4,North Macedonia,2020
